$GPGSV,1,1,4,05,64,043,42,26,61,154,45,29,52,269,39,02,33,118,36*78
svid   5  26  29   2      0   0   0   0      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno   42  45  39  36      0   0   0   0      0 0 0 0      0 0 0 0
elev  64  61  52  33      0   0   0   0      0 0 0 0      0 0 0 0
azim  43 154 269 118      0   0   0   0      0 0 0 0      0 0 0 0
$GPGSV,1,1,00*79
svid   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno    0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
elev   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
azim   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
$GPGSV,1,1,00*79
svid   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno    0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
elev   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
azim   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
$GPGSV,1,1,00*79
svid   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno    0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
elev   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
azim   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
$GPGSV,1,1,00*79
svid   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno    0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
elev   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
azim   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
$GPGSV,3,1,12,05,64,043,42,26,61,154,45,29,52,269,39,02,33,118,36*78
svid   5  26  29   2      0   0   0   0      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno   42  45  39  36      0   0   0   0      0 0 0 0      0 0 0 0
elev  64  61  52  33      0   0   0   0      0 0 0 0      0 0 0 0
azim  43 154 269 118      0   0   0   0      0 0 0 0      0 0 0 0  
$GPGSV,3,2,12,15,33,197,42,51,29,227,35,10,19,066,37,08,16,078,35*73
svid   5  26  29   2     15  51  10   8      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno   42  45  39  36     42  35  37  35      0 0 0 0      0 0 0 0
elev  64  61  52  33     33  29  19  16      0 0 0 0      0 0 0 0
azim  43 154 269 118    197 227  66  78      0 0 0 0      0 0 0 0
$GPGSV,1,1,00*79
svid   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno    0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
elev   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
azim   0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
$GPGSV,3,1,12,05,64,043,42,26,61,154,45,29,52,269,39,02,33,118,36*78
svid   5  26  29   2      0   0   0   0      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno   42  45  39  36      0   0   0   0      0 0 0 0      0 0 0 0
elev  64  61  52  33      0   0   0   0      0 0 0 0      0 0 0 0
azim  43 154 269 118      0   0   0   0      0 0 0 0      0 0 0 0  
$GPGSV,3,2,12,15,33,197,42,51,29,227,35,10,19,066,37,08,16,078,35*73
svid   5  26  29   2     15  51  10   8      0 0 0 0      0 0 0 0
flags  0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0 0 0 0      0 0 0 0
cno   42  45  39  36     42  35  37  35      0 0 0 0      0 0 0 0
elev  64  61  52  33     33  29  19  16      0 0 0 0      0 0 0 0
azim  43 154 269 118    197 227  66  78      0 0 0 0      0 0 0 0 
$GPGSV,3,3,12,07,11,046,,04,03,120,31,30,02,294,,21,,,36*41
svid   5  26  29   2     15  51  10   8      7   4  30  21      0 0 0 0
flags  0   0   0   0      0   0   0   0      0   0   0   0      0 0 0 0
qi     0   0   0   0      0   0   0   0      0   0   0   0      0 0 0 0
cno   42  45  39  36     42  35  37  35      0  31   0  36      0 0 0 0
elev  64  61  52  33     33  29  19  16     11   3   2   0      0 0 0 0
azim  43 154 269 118    197 227  66  78     46 120 294   0      0 0 0 0  
